supplySubSector,Ag_cereals,Ag_forest,Ag_fruittrees,Ag_pasture,Ag_specialty,Ag_vegetables,Agriculture_all,Electricity_all,Electricity_Gas,Electricity_Hydro,Electricity_Import,Electricity_RefLiqDiesel,Livestock_all,Livestock_bulls,Livestock_calves,Livestock_cows,Livestock_heifers,Livestock_steers,W_SW_Runoff,Water_all,commercial,downstream,industrial,losses,municipal,other,residential,adjustedDemand,Agriculture_adjusted,Electricity_adjusted,Livestock_adjusted,Water_adjusted,export,supplySector,total,cap,capNew,capOrig,surplus,scenario,x,units,region,subRegion,param
Ag_cereals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.72475,Agriculture,555.72475,555.72475,555.72475,0,0,Policy,0,km2,Argentina,Colorado,param
Ag_forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,Agriculture,0.78,0.78,0.78,0,0,Policy,0,km2,Argentina,Colorado,param
Ag_fruittrees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3615,Agriculture,67.3615,67.3615,67.3615,0,0,Policy,0,km2,Argentina,Colorado,param
Ag_pasture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110.41162,Agriculture,1110.41162,1110.41162,1110.41162,0,0,Policy,0,km2,Argentina,Colorado,param
Ag_specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8615,Agriculture,69.8615,69.8615,69.8615,0,0,Policy,0,km2,Argentina,Colorado,param
Ag_vegetables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.41251,Agriculture,239.41251,239.41251,239.41251,0,0,Policy,0,km2,Argentina,Colorado,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043.55188,Agriculture,2043.55188,2043.55188,2043.55188,0,0,Policy,0,km2,Argentina,Colorado,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.40542375,0,1096.728134274,0,0,315.166707834,451.369196352,0,0,0,0,0,0,Electricity,2053.66946221,2053.66946221,1893.34346221,160.326,0,Policy,0,GWh,Argentina,Colorado,param
Electricity_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405699721978311,0,364.116451689119,0,0,71.9067376936941,39.9169534552083,0,0,0,0,0,0,Electricity,476.34584256,476.34584256,408.84584256,67.5,0,Policy,0,GWh,Argentina,Colorado,param
Electricity_Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0501604772363,0,137.20925890556,0,0,45.9001879638837,89.4154426533198,0,0,0,0,0,0,Electricity,315.57505,315.57505,255.57505,60,0,Policy,0,GWh,Argentina,Colorado,param
Electricity_Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.39439965656,0,423.312015593382,0,0,162.70521213939,302.116612021668,0,0,0,0,0,0,Electricity,1034.528239411,1034.528239411,1034.528239411,0,0,Policy,0,GWh,Argentina,Colorado,param
Electricity_RefLiqDiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555163894225087,0,172.090408085939,0,0,34.6545700370325,19.9201882218039,0,0,0,0,0,0,Electricity,227.220330239,227.220330239,194.394330239,32.826,0,Policy,0,GWh,Argentina,Colorado,param
Livestock_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262979,Livestock,262979,262979,262979,0,0,Policy,0,head,Argentina,Colorado,param
Livestock_bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5408,Livestock,5408,5408,5408,0,0,Policy,0,head,Argentina,Colorado,param
Livestock_calves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45924,Livestock,45924,45924,45924,0,0,Policy,0,head,Argentina,Colorado,param
Livestock_cows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127040,Livestock,127040,127040,127040,0,0,Policy,0,head,Argentina,Colorado,param
Livestock_heifers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37136,Livestock,37136,37136,37136,0,0,Policy,0,head,Argentina,Colorado,param
Livestock_steers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47471,Livestock,47471,47471,47471,0,0,Policy,0,head,Argentina,Colorado,param
W_SW_Runoff,1.27455679144027,0,0.101969156002241,1.63683264814931,0.070882205339203,0.209997944068975,0,0,7.17e-05,0,0,3.4863e-05,0,6.733e-05,0.000571634,0.002967,0.0008677,0.000590863,0,0,0,1.291570165,0,0,0.01432,0,0,0,0,0,0,0,0.0021,Water,4.6074,21.27607155,0,21.27607155,16.66867155,Policy,0,km3,Argentina,Colorado,param
Water_all,1.27455679144027,0,0.101969156002241,1.63683264814931,0.070882205339203,0.209997944068975,0,0,7.17e-05,0,0,3.4863e-05,0,6.733e-05,0.000571634,0.002967,0.0008677,0.000590863,0,0,0,1.291570165,0,0,0.01432,0,0,0,0,0,0,0,0.0021,Water,4.6074,21.27607155,0,21.27607155,16.66867155,Policy,0,km3,Argentina,Colorado,param
