scenario,subRegion,param,class,x,units,value
Reference,Corfo,total_ag_supply,AgSupply,2010,land (km^2),1400
Reference,LaPampa_baja,total_ag_supply,AgSupply,2010,land (km^2),3.36
Reference,LaPampa_media,total_ag_supply,AgSupply,2010,land (km^2),78
Reference,Mendoza_alta_barrancas,total_ag_supply,AgSupply,2010,land (km^2),0.02
Reference,Mendoza_alta_riogrande,total_ag_supply,AgSupply,2010,land (km^2),0
Reference,Mendoza_media,total_ag_supply,AgSupply,2010,land (km^2),0
Reference,Neuquen_alta_barrancas,total_ag_supply,AgSupply,2010,land (km^2),0.68
Reference,Neuquen_media,total_ag_supply,AgSupply,2010,land (km^2),6.5
Reference,RioNegro_baja,total_ag_supply,AgSupply,2010,land (km^2),55.8
Reference,RioNegro_media,total_ag_supply,AgSupply,2010,land (km^2),25.6
