sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_pasture,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,export,306.11837,export
Ag_pasture,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,total,306.11837,total
Ag_specialty,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,export,64.0415,export
Ag_specialty,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,total,64.0415,total
Ag_vegetables,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,export,60.19901,export
Ag_vegetables,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,total,60.19901,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,export,430.35888,export
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,total,430.35888,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,cap,430.35888,cap
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_baja,param,capNew,430.35888,capNew
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,commercial,1.587401,commercial
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,industrial,0.118812,industrial
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,other,4.754263,other
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,residential,4.064913,residential
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,total,10.525389,total
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,cap,10.525389,cap
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,capNew,10.385389,capNew
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,capOrig,0.140000000000001,capOrig
Electricity_Import,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,commercial,1.439330691,commercial
Electricity_Import,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,industrial,0.1077294,industrial
Electricity_Import,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,other,4.310792704,other
Electricity_Import,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,residential,3.685744205,residential
Electricity_Import,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,total,9.543597,total
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,commercial,0.148070309,commercial
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,industrial,0.0110826,industrial
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,other,0.443470296,other
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,residential,0.379168795,residential
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,total,0.981792,total
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,cap,0.981792,cap
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,capNew,0.841792,capNew
Electricity_RefLiqDiesel,Electricity,Policy,0,GWh,Argentina,LaPampa_baja,param,capOrig,0.14,capOrig
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Ag_pasture,0.513533480187818,Ag
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Ag_vegetables,0.0639611079502324,Ag
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Ag_specialty,0.0680437318619494,Ag
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Electricity_RefLiqDiesel,1.49e-07,Electricity
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,municipal,0.00083,municipal
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,downstream,1.523843324,downstream
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,export,0.0021,export
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,total,2.172311793,total
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,cap,2.172311793,cap
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_baja,param,capOrig,2.172311793,capOrig
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Ag_pasture,0.513533480187818,Ag
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Ag_vegetables,0.0639611079502324,Ag
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Ag_specialty,0.0680437318619494,Ag
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,Electricity_RefLiqDiesel,1.49e-07,Electricity
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,municipal,0.00083,municipal
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,downstream,1.523843324,downstream
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,export,0.0021,export
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,total,2.172311793,total
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,cap,2.172311793,cap
Water_all,Water,Policy,0,km3,Argentina,LaPampa_baja,param,capOrig,2.172311793,capOrig
